,Causality,ANOVA-F,Mutual_info,Kendall,Outlier,Bias,Variance,Distribution
L_T1,-0.015925208552719283,473.62967946180567,0.0352965466785462,0.09274150321577775,0.013029104816231284,0.07107366601857852,0.014754806653704903,0.06015573054126111
L_T2,-0.0366024391624471,344.87277169138713,0.028474514319756006,0.07035085314181219,0.013547676152200688,0.07453013609850939,0.01803845322963923,0.07196064225637322
L_T3,-0.0031917616009131677,296.0552350598801,0.04517826613018827,0.0630233488187135,0.012899461982238932,0.07150572477856988,0.01205443940375891,0.0486701450522492
L_T4,-0.010399233583132897,215.72230889289077,0.05676389147050109,0.045091198344024586,0.014455175990147144,0.07366601857852668,0.010520630805789587,0.03698868727668225
L_T5,0.005578719006415163,287.3307463643368,0.04407123684189074,0.061173372682550096,0.01335321190121216,0.07323395981853532,0.009354072153812919,0.04614357006560299
L_T6,0.047979893017583264,315.38988252567646,0.04554025195057254,0.0690028226050144,0.01393660465417774,0.07366601857852668,0.005292719809894145,0.25984580223019726
L_T7,-0.005949720222769628,307.63724197477137,0.03657932788252194,0.06586436809551136,0.013742140403189215,0.06891337221862173,0.010434219053791317,0.05777234244459423
F_PU1,-0.02172703749064908,158.08163424977667,0.015282820664409558,0.040647835965806435,0.013223569067219809,0.08684381075826313,0.04156405271116872,0.2956036726554855
S_PU1,2.222202816610871,49.55419236761395,0.024514951078983493,0.2596944830913742,0.013612497569196863,0.0723698422985526,0.005098293367898034,0.49701322435196404
F_PU2,-0.0005265576318151804,214.45522629604122,0.016602121759516253,0.04041778238515499,0.012899461982238932,0.0786346943184273,0.028839922229423203,0.3508923771171818
S_PU2,-0.19103516779025398,222.90022905993015,0.024793598689074603,0.07692972963453412,0.013677318986193038,0.06675307841866494,0.005055087491898898,0.41148495466604235
F_PU3,0.003943437921016382,1932.986533693744,0.03069801677751327,0.34154771114940935,0.01639981850003241,0.06696910779866062,0.003910131777921798,0.5240124480137964
S_PU3,0.29616481946047557,1948.8881853698915,0.029531863730148267,0.3414497431217333,0.017761068256952096,0.06437675523871246,0.0038453229639230945,0.5243370684589532
F_PU4,0.0074620787885564255,293.8318785622268,0.015716245738429002,0.08280020087826015,0.013093926233227459,0.073449989198531,0.01700151220565997,0.36061575954402725
S_PU4,-0.16349149504758387,284.0183066401279,0.018849393047165153,0.08575889104645268,0.012899461982238932,0.07517822423849643,0.003413264203931735,0.3607159694712558
F_PU5,-7.318590178329032e-13,,0.0,,0.0,0.06999351911860013,0.0,
S_PU5,-1.4210854715202004e-13,,0.0,,0.0,0.06848131345863037,0.0,
F_PU6,0.06214474833074134,2112.5500999046817,0.03538476394905543,0.35116434341644487,0.02035392493679912,0.06372866709872543,0.004925469863901491,0.5282871295644462
S_PU6,-2.0326745245096767,1972.8755607485525,0.028855086877465297,0.3516490509531196,0.019964996434822066,0.06848131345863037,0.003974940591920501,0.5284273342542207
F_PU7,-0.011550347117246673,139.29741465052987,0.039972955160514356,0.0432491623822059,0.013612497569196863,0.073449989198531,0.013156189241736877,0.4006050864157509
S_PU7,0.7675735361785208,176.77118542736463,0.020295468778169123,0.08241398944448028,0.013158747650223634,0.06934543097861309,0.005227910995895441,0.4646966938656008
F_PU8,0.007231246890000875,314.7824633653658,0.02541064207606447,0.07564953995948692,0.013547676152200688,0.07409807733851805,0.016115791747677684,0.3119733827150937
S_PU8,-0.07503453427408857,303.3144767326895,0.021730816101616757,0.08989850551710267,0.013093926233227459,0.06826528407863469,0.006092028515878159,0.3464326770531856
F_PU9,-7.957939862635044e-13,,0.0,,0.0,0.07323395981853532,0.0,
S_PU9,-1.4210854715202004e-13,,0.0,,0.0,0.07928278245841434,0.0,
F_PU10,0.0018478373426589166,246.61715716700704,0.030419901570613028,0.055671511873045754,0.012899461982238932,0.07150572477856988,0.016720674011665587,0.37778151072824334
S_PU10,0.002009545707178262,255.14757230366703,0.020144254150630037,0.09762959975045366,0.013029104816231284,0.07517822423849643,0.005098293367898034,0.45142661494199554
F_PU11,0.007939925756350164,1207.1125452109804,0.02087450859683515,0.3092091212475396,0.015297854411097427,0.07474616547850507,0.004147764095917045,0.5206427049903262
S_PU11,0.6969906911138217,1205.1999915409524,0.022584452778328767,0.3095678800293298,0.015233032994101251,0.06545690213869086,0.005227910995895442,0.5207579582401209
F_V2,-0.0010262171431065503,358.0355891301755,0.03642728445616772,0.07789305427729562,0.012186426395281,0.09397278029812055,0.03482393605530352,0.19213471270832083
