,Causality,ANOVA-F,Mutual_info,Kendall,Outlier,Bias,Variance,Distribution
L_T1,-0.016711932921570125,108.60335982951435,0.021426391972527714,0.05016875673780586,0.005685198651417994,0.06168759638686935,0.014430491297642652,0.0688681829103811
L_T2,-0.04038062440897497,42.85935502039134,0.014220421642636927,0.025262212359450108,0.005685198651417994,0.0656532275831681,0.020136593963428068,0.06209517756707339
L_T3,-0.0011422440590429517,24.839660871159765,0.03419280703366323,0.017157361432043917,0.005883519534606994,0.06278916060806344,0.005816259087904825,0.05419648214041495
L_T4,-0.013634746671463902,3.975187288438649,0.04511758579367475,-0.002667646487036048,0.005949626495669994,0.06389072482925755,0.007799074686054198,0.037321375036203086
L_T5,0.01461532163262903,21.85897676130417,0.02916146047987911,0.015096520079917533,0.005949626495669994,0.06036571932143644,0.004472350738048027,0.05124696222614539
L_T6,0.050590386305124496,33.050726189629,0.03672869275977875,0.015501094990669498,0.005751305612480994,0.06763604318131747,0.0014320334875523246,0.2769493138351946
L_T7,-0.00722259040791684,27.849261966289042,0.025254740572398404,0.02030172525453143,0.0058174125735439945,0.06411103767349637,0.012579863406036573,0.05916246871698627
F_PU1,-0.025226011055000885,0.13429398325995232,0.00332572117151253,-0.007545153802901803,0.005288556885039995,0.08195637805684071,0.03729896452963208,0.2927359890743922
S_PU1,2.7641719238985125,47.20260597600259,0.007749299526449205,0.11020037806647763,0.005552984729291994,0.0610266578541529,0.00103547036792245,0.500469398391823
F_PU2,0.0006990729709741572,3.9687802328735557,0.0036880868401947264,-0.00979320408317623,0.005949626495669994,0.07975324961445253,0.026701916721744875,0.3811093444358753
S_PU2,-0.24234526940578177,5.920323890256317,0.007540058904569769,0.004906324529214322,0.006081840417795994,0.06829698171403392,0.0011235955056179776,0.44410217340346214
F_PU3,0.0068336264825532705,1241.6489644121853,0.016556635540790454,0.2663048381898369,0.01024657896476499,0.05485789821546596,0.0013659396342806786,0.5226654141509169
S_PU3,0.10463912553830933,1240.3750372235252,0.016718178446379905,0.26628983451248345,0.00938718847094599,0.05860321656752589,0.0011676580744657415,0.5226601100590396
F_PU4,0.004400571513123452,23.92584038201517,0.0021928160486013315,0.028280819154439273,0.0058174125735439945,0.0667547918043622,0.018396122493941396,0.3755054974914338
S_PU4,-0.028890015897069035,22.40630956879596,0.005194959301836111,0.02217846472245936,0.005354663846102995,0.06080634500991408,0.0013659396342806786,0.37567143553268173
F_PU5,1.0622613899613498e-12,,0.0,,0.0,0.0599250936329588,0.0,
S_PU5,6.217110160022798e-13,,0.0028791760226667407,,0.0,0.06300947345230228,0.0,
F_PU6,0.092426120464669,1388.822611568698,0.02089722979869424,0.27835660383348493,0.012295894757717987,0.05750165234633179,0.0009473452302269222,0.5273328823039919
S_PU6,-3.4984236334615977,1248.589125862761,0.0171456990953589,0.27827310748103606,0.012890857407284987,0.05838290372328707,0.0012557832121612691,0.5276200822605781
F_PU7,-0.02163032052004965,1.7486416602779704,0.024872759066044026,-0.005385555539125517,0.0058174125735439945,0.05816259087904825,0.009627671293236396,0.42914817156555496
S_PU7,1.2617498334151493,0.2371598113486223,0.008444681497346673,-0.004314047922020572,0.0058174125735439945,0.058823529411764705,0.0009032826613791583,0.4967805233535644
F_PU8,0.020016782652344856,29.964091872589716,0.009757871035169785,0.02649858314226515,0.005619091690354994,0.06587354042740692,0.013196739369905267,0.34312083565129536
S_PU8,-0.39310665047245913,25.562625595114593,0.007294234939140498,0.02626765320514768,0.005420770807165995,0.0599250936329588,0.0011676580744657413,0.3778348187730064
F_PU9,7.958078640513122e-13,,0.0016371012308209476,,0.0,0.06124697069839172,0.0,
S_PU9,6.217110160022798e-13,,0.001237231824019247,,0.0,0.06631416611588456,0.0,
F_PU10,0.0055735375828725175,11.511051824769789,0.017406572333785286,0.008143084384349597,0.005619091690354994,0.0713813615333774,0.014276272306675478,0.40584592790037766
S_PU10,-0.16416203969296442,13.063757529392694,0.008035548352008703,0.018857215311058793,0.0054868777682289946,0.06124697069839172,0.0009473452302269224,0.4838309049462224
F_PU11,0.11908700802796138,614.388912266113,0.011296632982587651,0.20910697424093927,0.008197263171811991,0.0599250936329588,0.0010795329367702137,0.518773089723388
S_PU11,-2.0207686609229705,600.8643557292806,0.010225193728035098,0.20909094043224705,0.008197263171811991,0.05860321656752589,0.0012778144965851508,0.518818629009848
F_V2,0.00035957949716802773,51.48135921247695,0.02129501331334227,0.03182833131703741,0.005751305612480994,0.08570169640890064,0.03216567525886759,0.21322049896017908
S_V2,0.1353758399403696,52.74362234947069,0.005261767438710319,0.04593247599255471,0.0058174125735439945,0.0656532275831681,0.0018065653227583166,0.44577546720371697
P_J280,7.029424280598455,75.65963911815271,0.06290125670650704,0.07906754358452533,0.005685198651417994,0.0656532275831681,0.0016964089006389074,0.24908734147425649
P_J269,-0.027624362706223593,48.6427183283327,0.004368898769770535,0.03567347377874917,0.005949626495669994,0.07424542850848205,0.02998457810090328,0.2910196843737888
P_J300,-0.010798342146046025,85.80948898215864,0.003992687652275118,0.0415393776806764,0.006544589145236993,0.06697510464860101,0.030821766909010798,0.09386257592285283
P_J256,-0.002830301196336704,23.12000997394069,0.0,0.011091656912660132,0.006081840417795994,0.08548138356466183,0.042322097378277156,0.1930939548944796
P_J289,0.05987446761571369,87.42588880474014,0.00327042954534007,0.04181455739969648,0.006478482184173994,0.0713813615333774,0.031086142322097377,0.09581475966373676
P_J415,-0.002326278388732561,35.07383659319829,0.009607049959525549,0.012839862322499304,0.0062140543399219934,0.06521260189469046,0.02467503855474774,0.33769961419309513
P_J302,-0.0067793336253103575,67.84009202730738,0.006730625193023254,0.0299331703274824,0.006412375223110994,0.07182198722185504,0.03818021590658736,0.13670181687202249
P_J306,-0.012951884592364848,27.648747118509018,0.0,0.019350593041367506,0.005420770807165995,0.07887199823749724,0.03366380259969157,0.28005208518449465
P_J307,0.008179558007590543,70.26686767060863,0.0034613873815498852,0.030156165777658485,0.006478482184173994,0.08526107072042301,0.03853271645736946,0.13825980182181075
P_J317,0.0008555782126116185,48.55322366908857,0.0026806489600810224,0.02344212747378869,0.006676803067362993,0.08129543952412426,0.03721083939193655,0.16444811794025854
P_J14,0.023440265262614446,54.38295727787743,0.01422377791323548,0.020555013382503467,0.006941230911614993,0.07358448997576558,0.03238598810310641,0.19338696260842336
P_J422,-0.004411248833495307,78.9733153470025,0.013192096167254697,0.04125245562007478,0.006015733456732994,0.07777043401630315,0.026085040757876182,0.10355434054881488
