,Causality,ANOVA-F,Mutual_info,Chi2,Kendall,Outlier,Bias,Variance,Distribution
service_type,-0.5399567530567868,,0.6886384588589629,207638.88025001422,,,0.40739861053381626,0.0009352176236565523,
complaint_level,-0.022979947809822043,,0.01606232060753321,8587.141868775108,,,0.5468054153553827,0.0,
contract_type,-0.05969373097387676,,0.48559226473433714,411491.54735890887,,,0.3961463096015676,0.0016700314708152722,
gender,-0.13830176986460296,,0.033573157905717466,461.4515634636349,,,0.5442224333471885,0.0,
is_mix_service,-0.749855564323235,,0.05770846388048234,29052.414734735787,,,0.5204114957544089,0.0,
is_promise_low_consume,0.4238988835656201,,0.046814857344681826,15896.664881690234,,,0.5333857846921204,0.0,
many_over_bill,-0.5850538579226137,,0.3894105685106659,69969.58383506964,,,0.4508342734991984,0.0,
net_service,-0.08647829452748645,,0.027255101010017047,123.68609717904712,,,0.5437622468974527,0.005370821210141916,
1_total_fee,0.00655440228125137,24698.05644932438,0.8729894468783448,,0.06984596062001792,0.020289919615221894,0.34200760049878276,0.08366041208954338,0.19820122216977565
2_total_fee,0.0024643032106288487,21220.080255569515,0.8104199262655907,,0.08111280237117041,0.020797612950633503,0.36621934564455794,0.08800100944124459,0.19061154454912177
3_total_fee,0.002479957956674994,23067.94451034718,0.9006227464122869,,0.06029674380268743,0.018904896568616537,0.3405528175286503,0.08404489044593552,0.18459199286241523
4_total_fee,0.002501664337639653,21105.131133447925,0.7912409117080723,,0.07280810251214719,0.02010732815248614,0.3839439463214773,0.10270470874651148,0.18292605567987175
age,-0.015763640637985965,3694.8462816399565,0.19123197388222568,,-0.07624807576542951,0.008194348571555814,0.5336975239000059,0.013063357282821687,0.10608339295988028
contract_time,0.004012004470454578,28938.258682638327,0.5310977899872964,,-0.1252279739523311,0.003665189605646975,0.3833204679057063,0.005424262217208004,0.3775265079174752
former_complaint_fee,-8.211209490127658e-12,4.058582779724948,0.01163276366785393,,-0.010975977116741979,0.00408826738515665,0.5492251053975418,0.007713318686538804,0.5023913997055599
former_complaint_num,0.007239105282239144,510.8463746654183,0.011806894541020796,,0.011332474617703474,0.022240530851277026,0.5491657265008016,0.004551392435128555,0.5130948432181063
last_month_traffic,0.00010351636576633183,7607.23946884244,0.5459329142429366,,-0.059654009241002066,0.0274555211650226,0.3802624547235912,0.03955376759099816,0.35797409878156483
local_caller_time,4.5182843260160865e-05,3448.860628441141,0.13634634583775274,,0.03413034993417172,0.019964817742546038,0.5657769728638442,0.16921946440235142,0.3138845053383482
local_trafffic_month,-1.0260242016890686e-05,4044.6614247592183,0.2511504328256824,,0.06514718051928665,0.023607740096639872,0.5911466064960513,0.18491033786592245,0.2869774505146817
month_traffic,-4.36474449152513e-05,4841.324933612424,0.5318942538823581,,-0.02499321408220899,0.01679396112137879,0.4597114185618431,0.13382221958316012,0.33649219249348344
online_time,0.0013347014734730323,18889.604813534537,0.5241934487844695,,-0.057638748262733235,0.02252555167115723,0.42844842942818123,0.030497001365714628,0.26010603149272943
pay_num,0.00024834244596050326,3141.7692339189703,0.3838516342118461,,0.05090454037175084,0.011062370571600347,0.4823199334956357,0.03925241969004216,0.29693416768131864
pay_times,-0.038348970020425366,469.45868052978994,0.02179295394849179,,0.025790896468729063,0.01349840789151395,0.5483938008431803,8.461492785464048e-05,0.2741080125921458
service1_caller_time,-0.0027738741171252634,162.44693452547983,0.16179513522171263,,-0.0020620411415115066,0.02218263599723886,0.5822249272608515,0.26297725788254855,0.3385409301686034
service2_caller_time,0.0033303925296350734,12417.086005580413,0.5633580461343612,,0.04589767445013024,0.01744861831704113,0.4625170714328128,0.19786384418977496,0.2795505610576867
